,name,repeats,lstm_xs,open_lstm_m,dnn_xs,dnn_m,cnn_xs,cnn_m,last_value,regression,arima,knn,sample_entropy,mad,num_edges,compression,perm_entropy
0,repeating_n5,0,0.009494522586464882,2.101063678594528e-08,0.003559317672625184,0.0,0.005626905709505081,1.728534755329747e-07,0.575336754322052,0.4038107132911682,0.37582462455418264,0.032514387644104595,0.146677268538551,0.575022531797359,0.7987987987987988,0.9375,0.566718703149354
1,repeating_n5,1,0.0072746481746435165,3.881752519419024e-08,0.002387204673141241,4.802131955972122e-11,0.007579831872135401,8.642673776648735e-08,0.575336754322052,0.4038107132911682,0.37582462455418264,0.032514387644104595,0.146677268538551,0.575022531797359,0.7987987987987988,0.9375,0.566718703149354
2,repeating_n20,0,0.010942930355668068,3.6931595559508423e-08,0.004954294767230749,7.823109271498652e-09,0.0036633373238146305,6.163027421735023e-08,0.39665016531944275,0.2825194583336512,0.3064500495407482,0.022409292890737457,0.27411982851764505,0.39695984585670535,0.8988988988988988,0.9375,0.959750326219071
3,repeating_n20,1,0.008044060319662094,5.1734968309347096e-08,0.004170577973127365,1.1362135232673154e-08,0.011078724637627602,6.45406572630236e-08,0.39665016531944275,0.2825194583336512,0.3064500495407482,0.022409292890737457,0.27411982851764505,0.39695984585670535,0.8988988988988988,0.9375,0.959750326219071
4,repeating_n100,0,0.012686717323958874,7.531139800676101e-08,0.0914902314543724,0.002399240853264928,0.1314142346382141,0.00019535768660716712,0.3024575114250183,0.29478139052043356,0.26238641523462375,0.01888252282786532,0.4280653768042882,0.30267799120499433,0.6986986986986987,0.953125,1.318513116002832
5,repeating_n100,1,0.01177645567804575,8.305534748842547e-08,0.0990171879529953,3.236345946788788e-08,0.11196302622556686,0.0006385001470334828,0.3024575114250183,0.29478139052043356,0.26238641523462375,0.01888252282786532,0.4280653768042882,0.30267799120499433,0.6986986986986987,0.953125,1.318513116002832
6,repeating_n50_with_noise,0,0.048563823103904724,0.034028101712465286,0.06709878146648407,0.03532179817557335,0.0855390653014183,0.03618400916457176,0.29723235964775085,0.2528258184964458,0.24121397651049203,0.02780362470518212,0.6118642785512503,0.2938072487760062,0.7457457457457457,0.953125,1.3532488546776125
7,repeating_n50_with_noise,1,0.03267841041088104,0.036395903676748276,0.07946407049894333,0.038068369030952454,0.059671930968761444,0.03750300779938698,0.29723235964775085,0.2528258184964458,0.24121397651049203,0.02780362470518212,0.6118642785512503,0.2938072487760062,0.7457457457457457,0.953125,1.3532488546776125
8,repeating_n10_with_noise,0,0.10000623762607574,0.10443247109651566,0.10376329720020294,0.10321302711963654,0.103394515812397,0.10313306748867035,0.253201425075531,0.23248286201556526,0.17926678213745326,0.09788281181454199,1.192359095846195,0.2780298233010442,0.6086086086086087,1.4375,1.4472372474494513
9,repeating_n10_with_noise,1,0.09562043845653534,0.1009313315153122,0.10573842376470566,0.10072605311870575,0.1013825386762619,0.10400602221488953,0.253201425075531,0.23248286201556526,0.17926678213745326,0.09788281181454199,1.192359095846195,0.2780298233010442,0.6086086086086087,1.4375,1.4472372474494513
10,linear,0,0.01699133589863777,0.0045639765448868275,0.004835250321775675,0.000986106344498694,0.015014762058854103,0.004025767557322979,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006851707072775681,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0
11,linear,1,0.007815140299499035,0.004796547349542379,0.004284294322133064,0.00010882913920795545,0.0034336072858422995,0.005147152114659548,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006851707072775681,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0
12,rev_linear,0,0.028338314965367317,0.0024739643558859825,0.012265359982848167,0.028350049629807472,0.03243706375360489,0.11555323749780655,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,0.0004999245523919847,0.19999864917680643,0.0009910802775024777,0.0,1.546875,0.0
13,rev_linear,1,0.02083013951778412,0.0022716817911714315,0.008921738713979721,0.04432838782668114,0.008753675036132336,0.08605439215898514,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,0.0004999245523919847,0.19999864917680643,0.0009910802775024777,0.0,1.546875,0.0
14,linear_with_noise0_001,0,0.15736818313598633,0.007611457258462906,0.004311506636440754,0.0012662637745961547,0.0048163654282689095,0.007612926885485649,0.0009930366650223732,0.0003206078608830798,0.0011932508526253927,0.0004896642200296509,0.20063849771764797,0.000991477286450724,0.0,1.53125,0.0
15,linear_with_noise0_001,1,0.014121334999799728,0.0015201872447505593,0.0031506347004324198,0.0024723701644688845,0.006343667395412922,0.003061789320781827,0.0009930366650223732,0.0003206078608830798,0.0011932508526253927,0.0004896642200296509,0.20063849771764797,0.000991477286450724,0.0,1.53125,0.0
16,linear_with_noise0_01,0,0.05128999054431915,0.0028313768561929464,0.005381028633564711,0.003053291467949748,0.0059770820662379265,0.012895657680928707,0.0034178602509200573,0.003200904806454977,0.004370197173463589,0.0027882164038749314,0.20993027492158145,0.0033737000892328094,0.6456456456456456,1.53125,1.4741031202032224
17,linear_with_noise0_01,1,0.03864185884594917,0.022161031141877174,0.014282125979661942,0.006181909237056971,0.003635490546002984,0.009577798657119274,0.0034178602509200573,0.003200904806454977,0.004370197173463589,0.0027882164038749314,0.20993027492158145,0.0033737000892328094,0.6456456456456456,1.53125,1.4741031202032224
18,linear_with_noise0_1,0,0.027097275480628014,0.0257920790463686,0.02645581029355526,0.026347586885094643,0.02802855521440506,0.028509216383099556,0.03078310936689377,0.029812286496162407,0.02485899275949751,0.025623270665985815,0.47027759200494257,0.030533699257184643,0.6616616616616616,1.5625,1.5829080858615565
19,linear_with_noise0_1,1,0.02680729702115059,0.026864152401685715,0.025891033932566643,0.02535947598516941,0.02866237610578537,0.02759639173746109,0.03078310936689377,0.029812286496162407,0.02485899275949751,0.025623270665985815,0.47027759200494257,0.030533699257184643,0.6616616616616616,1.5625,1.5829080858615565
20,quadratic,0,0.05861165001988411,0.010946043767035007,0.14492648839950562,0.01793607510626316,0.047971926629543304,0.017896614968776703,0.003543293569236994,8.49154790242479e-05,0.00133120765546201,0.003385476682465369,0.1824430915554082,0.0019286658638830352,0.001001001001001001,1.671875,0.2973391292980869
21,quadratic,1,0.05248035117983818,0.011788339354097843,0.023811595514416695,0.03710741177201271,0.0038737887516617775,0.031705617904663086,0.003543293569236994,8.49154790242479e-05,0.00133120765546201,0.003385476682465369,0.1824430915554082,0.0019286658638830352,0.001001001001001001,1.671875,0.2973391292980869
22,quadratic_with_noise,0,0.08125031739473343,0.02408476360142231,0.016630036756396294,0.012678327970206738,0.027349920943379402,0.023076778277754784,0.012934484519064426,0.012210227926572163,0.01633641396108361,0.012674604688917353,0.2206751864715498,0.012703450422636759,0.6576576576576577,1.671875,1.579598291214096
23,quadratic_with_noise,1,0.05002101510763168,0.02495088428258896,0.054287128150463104,0.028221989050507545,0.10489117354154587,0.01643223688006401,0.012934484519064426,0.012210227926572163,0.01633641396108361,0.012674604688917353,0.2206751864715498,0.012703450422636759,0.6576576576576577,1.671875,1.579598291214096
24,cubic,0,0.07560036331415176,0.004109598230570555,0.05981770530343056,0.0564887635409832,0.05393743887543678,0.03225426748394966,0.004984801169484854,0.0003657548427581778,0.0028366820414807946,0.00468095036887874,0.19337652707980213,0.002303505128549623,0.002002002002002002,1.765625,0.3027295507699256
25,cubic,1,0.0446009635925293,0.0025253910571336746,0.0021017477847635746,0.011022022925317287,0.059597693383693695,0.016424918547272682,0.004984801169484854,0.0003657548427581778,0.0028366820414807946,0.00468095036887874,0.19337652707980213,0.002303505128549623,0.002002002002002002,1.765625,0.3027295507699256
26,cubic_with_noise,0,0.066355399787426,0.016643257811665535,0.03402363136410713,0.0170037392526865,0.04397576302289963,0.021953098475933075,0.01951369270682335,0.018598584959904355,0.02388254215868014,0.019305852495841776,0.25005365301647053,0.019038410050946097,0.6636636636636637,1.765625,1.5835345054920364
