,name,seed,repeats,difficulty,lstm_xs,lstm,dnn_xs,dnn,cnn_xs,cnn,last_value,regression,arima,knn,sample_entropy,mad,num_edges,compression,perm_entropy,noise,mean_trend,trend_complexity,period,period_complexity,spectral_entropy_fft,spectral_entropy_psd
0,size_1000_seed_1_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,1,0,1,0.0032085918355733156,0.0031549183186143637,0.006975939497351646,0.0028944439254701138,0.010239777155220509,0.003317456226795912,0.01994442380964756,0.013893850286801656,0.010880118132754324,0.009690206419922881,0.2566546990196896,0.019983462064589997,0.056056056056056056,1.53125,0.5063017085125135,0.006259149451516238,0.5005942792127035,3.595123504078715e-05,0.1,0.35065925853476,1.2487402809917505,0.8981204066314656
1,size_1000_seed_2_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,2,1,1,0.0041502355597913265,0.0031985354144126177,0.002850319491699338,0.002736225724220276,0.005012035369873047,0.0028447292279452085,0.020123492926359177,0.013709364215532944,0.008292831305973086,0.010689265964671108,0.2564428651437022,0.02004255290024407,0.05805805805805806,1.53125,0.5126514873703363,0.006278561554624444,0.49946925438685613,3.769141743359042e-05,0.1,0.35109608977617857,1.2552737669807335,0.897953089274777
2,size_1000_seed_3_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,3,2,1,0.0072321281768381596,0.002880672924220562,0.00300606619566679,0.002563745714724064,0.005947477649897337,0.0027477028779685497,0.01979808323085308,0.013701814293861393,0.009032611655463593,0.009652590569662266,0.25686383436692134,0.02002313125368238,0.05805805805805806,1.53125,0.5081088129315331,0.0062343994024315905,0.5007616029692413,3.553419660922986e-05,0.1,0.35094765128068284,1.2510027675212232,0.897930991812317
3,size_1000_seed_4_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,4,3,1,0.003636531298980117,0.003283006139099598,0.004890105687081814,0.002954507479444146,0.006398416589945555,0.0030835752841085196,0.019968755543231964,0.013675072749455763,0.00993567943127496,0.009223870893291216,0.2570105196487468,0.020034223722282047,0.06406406406406406,1.53125,0.5222969154115642,0.006264043144989167,0.49980351112295957,3.460875988159279e-05,0.1,0.3510768854043468,1.2428643587997978,0.8981079155716499
4,size_1000_seed_5_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,5,4,1,0.003686575684696436,0.0037544011138379574,0.00553148565813899,0.002966818166896701,0.007689381949603558,0.0033001131378114223,0.020074214786291122,0.013757211248079935,0.009485355184344318,0.009779540171075903,0.25694155166306687,0.02000895551733364,0.05805805805805806,1.53125,0.5150755482300395,0.006373709876114277,0.4996585622306647,3.522546590446293e-05,0.1,0.3508888730531677,1.25135413753567,0.897959919612976
5,size_1000_seed_6_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,6,5,1,0.00550044933333993,0.003211076371371746,0.004408685956150293,0.0029714202973991632,0.0062321992591023445,0.00293914251960814,0.020158324390649796,0.013756314277648935,0.01170127159020424,0.009745780677582607,0.2568432210892015,0.020022736046789915,0.06406406406406406,1.53125,0.5343711443050658,0.006316096423475893,0.5001080458467719,3.715363346930295e-05,0.1,0.35109805756908663,1.2533455888367582,0.8980901069572108
6,size_1000_seed_7_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,7,6,1,0.004515339620411396,0.003429160453379154,0.0038780230097472668,0.003295573638752103,0.00503480015322566,0.0033495610114187002,0.020062997937202454,0.013702095131079355,0.009670603367758126,0.009605241462916983,0.2566951850730113,0.02007217234243294,0.07207207207207207,1.53125,0.5398868747482368,0.006307817742145598,0.4998240105868947,3.606950108225834e-05,0.1,0.35087423336676316,1.24592044206083,0.8980976878907743
7,size_1000_seed_8_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,8,7,1,0.00411641551181674,0.0030077858828008175,0.0031941120978444815,0.002895302139222622,0.004396835342049599,0.002639845944941044,0.020058007910847664,0.013845895886421204,0.0075780572900733655,0.009341196034922686,0.2565733400913312,0.020013375895416026,0.04804804804804805,1.53125,0.48852747370908495,0.005999069670439077,0.4998199990542196,3.497471366810797e-05,0.1,0.35144143869577094,1.2362931537404704,0.8977949012855226
8,size_1000_seed_9_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,9,8,1,0.004227726720273495,0.003326520323753357,0.003541590878739953,0.002733358182013035,0.007934564724564552,0.002756080124527216,0.020016364753246307,0.013822548151016236,0.008779294117128167,0.0102545335617679,0.2569109800403133,0.02002271530582853,0.05005005005005005,1.53125,0.4931892478101232,0.006189920243705618,0.5002076096622827,3.4583244544329276e-05,0.1,0.35063049631840937,1.2321073568021825,0.8978218831538773
9,size_1000_seed_10_config_sinusoidal_period_100_config_noise_std_dev_0.01_lookback_10,10,9,1,0.004770361818373203,0.0033818217925727367,0.003444298170506954,0.002935835625976324,0.008672352880239487,0.003062039613723755,0.02001432701945305,0.013913975516955059,0.008662226910211396,0.009859970803913116,0.25733381681002704,0.019981174924192595,0.05805805805805806,1.53125,0.5049140523586175,0.006249509012494341,0.49956830462931573,3.572101904496008e-05,0.1,0.3506234761497837,1.247611430923047,0.8980630092327984
10,size_1000_seed_11_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,11,0,2,0.0068666464649140835,0.005945426877588034,0.006578492000699043,0.0054256911389529705,0.006633115466684103,0.005774414632469416,0.020135002210736275,0.014331494112809508,0.01334498460709854,0.010577915422344599,0.2613735132356144,0.020343210381102112,0.13813813813813813,1.53125,0.6919348496962805,0.007470775263291137,0.4993733745263726,6.16547559486284e-05,0.1,0.34747541809418125,1.5528621121895128,0.8999528931695968
11,size_1000_seed_12_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,12,1,2,0.007436811923980713,0.007079057861119509,0.006347185932099819,0.006366286426782608,0.009313463233411312,0.0065218424424529076,0.02055009827017784,0.014229788064956658,0.01520753168767102,0.012359759313590067,0.26156079150508654,0.020363623855059777,0.12612612612612611,1.53125,0.6745243786874081,0.0079065899215183,0.49991368266421116,6.465115741715882e-05,0.1,0.34754543479423605,1.6013135875044215,0.9002880127056823
12,size_1000_seed_13_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,13,2,2,0.006345330271869898,0.006035237107425928,0.006619115360081196,0.0058355797082185745,0.007465049624443054,0.00585830258205533,0.02015170268714428,0.014192094584306085,0.0143567765453487,0.011177650946074194,0.26160130897233497,0.02030705916938716,0.11011011011011011,1.53125,0.6481032332892871,0.007393564670215379,0.49942150132054774,5.674541128376887e-05,0.1,0.3473824940379994,1.5556733534448695,0.9006237494241219
13,size_1000_seed_14_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,14,3,2,0.0064538829028606415,0.006040575914084911,0.0059027778916060925,0.0052448539063334465,0.0061165038496255875,0.00556432968005538,0.020682455971837044,0.014137482196092606,0.013689463995671303,0.012453591906453001,0.26178249792709885,0.020428627300947015,0.13013013013013014,1.53125,0.7027904096616386,0.007677940009231595,0.5000616578854878,6.109331274524114e-05,0.1,0.3470435153017201,1.5683510305892963,0.8999794116113291
14,size_1000_seed_15_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,15,4,2,0.007050319109112024,0.0060165030881762505,0.006132338661700487,0.005926577840000391,0.0059832073748111725,0.005700273439288139,0.020549917593598366,0.01392394040028253,0.0149242077852352,0.010983794219369862,0.2615669302561075,0.020362652613275696,0.11611611611611612,1.734375,0.6615156240330071,0.007559892915265288,0.5013114381540775,5.881857097188755e-05,0.1,0.34766764733921635,1.560016587860744,0.9005812171441399
15,size_1000_seed_16_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,16,5,2,0.006817453540861607,0.006406635511666536,0.006434775423258543,0.005951902363449335,0.011536636389791965,0.00604871055111289,0.020438484847545624,0.014295180002848303,0.01419814315207193,0.011668378675082273,0.2619163277735609,0.020328383415910645,0.12212212212212212,1.53125,0.6734246889283948,0.007694169744561769,0.499070569418722,6.310380403733473e-05,0.1,0.3476272579046217,1.5825941860838513,0.8999574758796303
16,size_1000_seed_17_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,17,6,2,0.006511848419904709,0.0057897018268704414,0.006509270519018173,0.005234417971223593,0.006610796321183443,0.005211498588323593,0.020424820482730865,0.014002453078826279,0.014056503363511275,0.010713391561208388,0.26190149982829386,0.02037634867485467,0.13813813813813813,1.53125,0.6915161971902387,0.007495777111792435,0.49904599036452185,5.8159298346738966e-05,0.1,0.3477812062182259,1.5622665589147284,0.9001482946070881
17,size_1000_seed_18_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,18,7,2,0.007267184089869261,0.006873062811791897,0.006928224116563797,0.006131999660283327,0.011601993814110756,0.006363142281770706,0.020186807960271835,0.01420934818188349,0.015251189589300954,0.01210394149039489,0.26170524207081686,0.02036967853049598,0.11611611611611612,1.53125,0.6677492969044587,0.007708034801399205,0.4997540331375664,6.001861746614426e-05,0.1,0.34722903831236535,1.5780855884659024,0.9002044384332141
18,size_1000_seed_19_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,19,8,2,0.00851176306605339,0.006382327061146498,0.00815737247467041,0.0055648935958743095,0.009352440014481544,0.006030200514942408,0.020623235031962395,0.014497515102227528,0.01382297892907107,0.011976851671004493,0.26251714976567303,0.02032707256783609,0.12612612612612611,1.53125,0.6815892309810792,0.00744140868110116,0.49963929208265323,5.994487756806291e-05,0.1,0.34778636378562394,1.559722213295894,0.9007247512887008
19,size_1000_seed_20_config_sinusoidal_period_100_config_noise_std_dev_0.02_lookback_10,20,9,2,0.006375468801707029,0.005888677202165127,0.007096137851476669,0.005473205354064703,0.008867749944329262,0.005847400054335594,0.020545940846204758,0.014266033550103507,0.014038979175388069,0.011308971149155972,0.2615480356581558,0.020349976507683182,0.13013013013013014,1.734375,0.6887506972040096,0.0076606974136198035,0.49974564113860587,6.262653620229237e-05,0.1,0.3469822396485536,1.578107406403702,0.900527366175259
20,size_1000_seed_21_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,21,0,3,0.00942743569612503,0.009164053946733475,0.009539196267724037,0.008952737785875797,0.009479687549173832,0.008903206326067448,0.02022673562169075,0.01584407737851143,0.0181844583110106,0.013586274121393037,0.26836621416265705,0.02097897232172993,0.22022022022022023,1.765625,0.8577700721091477,0.009536190498245405,0.49989368375252574,7.935787334944186e-05,0.1,0.34481591697474206,1.8430488213882907,0.9036400467707719
21,size_1000_seed_22_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,22,1,3,0.00953012052923441,0.0084400475025177,0.009413155727088451,0.0077102757059037685,0.00962526723742485,0.00807021651417017,0.02080647461116314,0.015143767294784399,0.01726393601765827,0.012965820380065671,0.26771877009200956,0.02097214021929138,0.1981981981981982,1.734375,0.8463023271002307,0.00951169312878091,0.5004186606700857,8.308621298172526e-05,0.1,0.3448472171669186,1.8582945044093089,0.9040626221183101
22,size_1000_seed_23_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,23,2,3,0.010335619561374187,0.009365921840071678,0.008306527510285378,0.008332941681146622,0.010317820124328136,0.008593528531491756,0.020961003378033638,0.014849003573258725,0.01723344283221895,0.01420328198715302,0.26768675034761413,0.021077556360139093,0.2002002002002002,1.734375,0.8353292958627531,0.009520548115893817,0.49958118288225517,8.368273337433687e-05,0.1,0.344239025383871,1.8477081667701127,0.9032749296673316
23,size_1000_seed_24_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,24,3,3,0.010226821526885033,0.010198776610195637,0.009340176358819008,0.008821834810078144,0.011354301124811172,0.009478402324020863,0.021362634375691414,0.015150837332631149,0.02052796692515665,0.014569693718367084,0.26810741752301825,0.02096119932504232,0.1921921921921922,1.765625,0.8143077849992999,0.009885956063288945,0.5002528249733782,8.640805404622788e-05,0.1,0.3441047988160662,1.8617515200845296,0.903761167771284
24,size_1000_seed_25_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,25,4,3,0.010477776639163494,0.008368372917175293,0.008846386335790157,0.008040902204811573,0.010466797277331352,0.00885444600135088,0.021030368283391,0.01521593221028645,0.017765733010419407,0.013902236497141125,0.26736897764585527,0.021113913469443284,0.2022022022022022,1.796875,0.8477667984737197,0.009535449504499045,0.5004368908132767,8.639905327110206e-05,0.1,0.3448057137066904,1.831842492578848,0.9042682620449425
25,size_1000_seed_26_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,26,5,3,0.00892715435475111,0.008459699340164661,0.008447771891951561,0.008149255067110062,0.009096438996493816,0.007932933047413826,0.020508840680122375,0.015039698441823316,0.018271147628832588,0.014257122922186855,0.26785545825406093,0.020979153889494048,0.2002002002002002,1.765625,0.8445669520939759,0.009848373359433307,0.500538143286082,8.739751120109344e-05,0.1,0.3438581196791811,1.859248798195559,0.9050112489337553
26,size_1000_seed_27_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,27,6,3,0.009291534312069416,0.008342414163053036,0.008054669946432114,0.007656308822333813,0.008643853478133678,0.0077618700452148914,0.021020444110035896,0.015052772283554079,0.019694074821211095,0.01277873317973822,0.26734635602690676,0.021030074681433947,0.18018018018018017,1.734375,0.8005832894502045,0.009657922045436218,0.5007738296014027,9.037233454287192e-05,0.1,0.34528859174665943,1.8488626696627344,0.9039411205960857
27,size_1000_seed_28_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,28,7,3,0.00967707484960556,0.00954874325543642,0.0099568460136652,0.009083092212677002,0.009900004602968693,0.009335140697658062,0.020897312089800835,0.015400424546251689,0.020313894030153358,0.01429631790706741,0.26846951838986277,0.02112076863227842,0.1961961961961962,1.796875,0.8476038084282601,0.009705237393262008,0.5009711998963793,8.672054373301725e-05,0.1,0.34438734386347186,1.872710108744172,0.9039121779927748
28,size_1000_seed_29_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,29,8,3,0.00959236640483141,0.009057448245584965,0.008199580013751984,0.008063164539635181,0.009419923648238182,0.008303821086883545,0.021423477679491043,0.014757581468904393,0.018183111124583134,0.01378513149741438,0.2680431166846978,0.020966435060550584,0.16016016016016016,1.765625,0.760396846606122,0.009314944491804733,0.4995670106945758,8.307755321020786e-05,0.1,0.3439594965601819,1.8022797091608014,0.9038199153240819
29,size_1000_seed_30_config_sinusoidal_period_100_config_noise_std_dev_0.03_lookback_10,30,9,3,0.00924150925129652,0.008339057676494122,0.00919799879193306,0.007868926972150803,0.007671766448765993,0.007814688608050346,0.021124863997101784,0.014810586223999651,0.016990539190711723,0.012412787562202593,0.26771109399920134,0.021164581853582845,0.17617617617617617,1.734375,0.8060580152737652,0.00961473321325364,0.5002155623732155,9.059857453672542e-05,0.1,0.34512730464055213,1.8366030082842844,0.9040363570061994
30,size_1000_seed_31_config_sinusoidal_period_100_config_noise_std_dev_0.04_lookback_10,31,0,4,0.011661901138722897,0.011822477914392948,0.012022823095321655,0.011474812403321266,0.01247789990156889,0.011761270463466644,0.02062319591641426,0.017036967262625696,0.019155486538070896,0.016316868937090345,0.2757282396345636,0.02201503520968027,0.2702702702702703,1.796875,0.991682837113778,0.01221552166674361,0.498603829576232,0.00011691956775933503,0.1,0.34085658923424944,2.1147174801189292,0.9100645109113823
31,size_1000_seed_32_config_sinusoidal_period_100_config_noise_std_dev_0.04_lookback_10,32,1,4,0.012865335680544376,0.01215379685163498,0.01443817000836134,0.011441284790635109,0.012760269455611706,0.011589339934289455,0.02314314991235733,0.015960828201224405,0.02489634638698037,0.01686473054077774,0.2754758622836296,0.022273390662010225,0.2602602602602603,1.765625,0.9584087403500827,0.011843783184517656,0.49988685610678923,0.00011493967908106511,0.1,0.3412116723274385,2.102547238925658,0.9079082143936746
32,size_1000_seed_33_config_sinusoidal_period_100_config_noise_std_dev_0.04_lookback_10,33,2,4,0.01385574135929346,0.012648497708141804,0.013421867974102497,0.011862187646329403,0.015407536178827286,0.012392083182930946,0.02248380333185196,0.01680811229099831,0.023088132894449033,0.016224460893569027,0.2776411255598234,0.022200381478936246,0.25425425425425424,1.78125,0.9557347962119402,0.011838095088999691,0.49959390357260963,0.00011166212698910489,0.1,0.3416106747174116,2.1142242484978935,0.9080948710521511
33,size_1000_seed_34_config_sinusoidal_period_100_config_noise_std_dev_0.04_lookback_10,34,3,4,0.012764795683324337,0.012725171633064747,0.012550677172839642,0.01131641585379839,0.011597876437008381,0.011351407505571842,0.021682022139430046,0.0160383361602823,0.022892078025404966,0.01644504197458618,0.27477143871287596,0.02221440707531374,0.25425425425425424,1.75,0.9574750527662925,0.01180130241886377,0.5010775622509509,0.00011095577585049141,0.1,0.34196544783982125,2.07873032807532,0.9085478590803697
