,type,seed,difficulty,dnn_xs,dnn_m,lstm_xs,open_lstm_m,last_value,regression,arima,entropy
0,size_1000_seed_1_config_multi_sinusoidal_num_sin_1_lookback_10,1,1,0.013432133011519909,0.010804739780724049,0.036036547273397446,0.00029048213036730886,0.007955929264426231,0.001777265174974449,0.0019551909758357055,2.503846901546303
1,size_1000_seed_2_config_multi_sinusoidal_num_sin_1_lookback_10,2,1,0.007337648421525955,0.004170972853899002,0.0026441416703164577,6.801542622270063e-05,0.012352376244962215,0.007883410563071569,0.0012475543199354047,2.6706454461316684
2,size_1000_seed_3_config_multi_sinusoidal_num_sin_1_lookback_10,3,1,0.0033401537220925093,0.0025840180460363626,0.0063265482895076275,6.618713814532384e-05,0.037709638476371765,0.04809435149146399,0.004221467906323586,3.029219384016746
3,size_1000_seed_4_config_multi_sinusoidal_num_sin_1_lookback_10,4,1,0.005920374300330877,0.0066364603117108345,0.06237432360649109,0.01326911710202694,0.005087252706289291,0.0004687235156695002,0.0012082171524375413,2.2389883401979866
4,size_1000_seed_5_config_multi_sinusoidal_num_sin_1_lookback_10,5,1,0.021789638325572014,0.04698347672820091,0.025270886719226837,0.005412776488810778,0.004587966948747635,0.0008426119396481257,0.00088387076592013,2.3357153752044852
5,size_1000_seed_6_config_multi_sinusoidal_num_sin_1_lookback_10,6,1,0.00603584386408329,0.014425772242248058,0.026927819475531578,0.03749062493443489,0.006569229997694492,0.0019704748590787242,0.0012043120995097298,2.4842809640401886
6,size_1000_seed_7_config_multi_sinusoidal_num_sin_1_lookback_10,7,1,0.035607293248176575,0.018387136980891228,0.026248350739479065,0.021425407379865646,0.004508701153099537,0.0017683699131011965,0.0006601933010888106,2.354587456290589
7,size_1000_seed_8_config_multi_sinusoidal_num_sin_1_lookback_10,8,1,0.004906797781586647,0.015263307839632034,0.01321467850357294,0.000666543492116034,0.011816647835075855,0.004634010185798009,0.001205490988192279,2.700178065049381
8,size_1000_seed_9_config_multi_sinusoidal_num_sin_1_lookback_10,9,1,0.08519364148378372,0.10243558883666992,0.03649113327264786,0.0220806747674942,0.006289337761700153,0.0004477779890100182,0.0013245558143801664,2.3553903144745325
9,size_1000_seed_10_config_multi_sinusoidal_num_sin_1_lookback_10,10,1,0.016449393704533577,0.004528895020484924,0.02458173967897892,0.019771896302700043,0.0039820061065256596,0.0006252312660217341,0.0007887161093597528,2.185615203140404
10,size_1000_seed_11_config_multi_sinusoidal_num_sin_2_lookback_10,11,2,0.0027449887711554766,0.003462742082774639,0.0024990474339574575,0.0007439431501552463,0.008604196831583977,0.008384246230125424,0.0020290551889951144,4.00592130418666
11,size_1000_seed_12_config_multi_sinusoidal_num_sin_2_lookback_10,12,2,0.009033252485096455,0.009185616858303547,0.0029993492644280195,0.00108160893432796,0.014822007156908512,0.006044396748145409,0.001859282661493915,3.3151136911188552
12,size_1000_seed_13_config_multi_sinusoidal_num_sin_2_lookback_10,13,2,0.018824515864253044,0.01699366420507431,0.0079005416482687,0.00836776290088892,0.02212914079427719,0.03054894873499871,0.003569511505329837,4.274087049342238
13,size_1000_seed_14_config_multi_sinusoidal_num_sin_2_lookback_10,14,2,0.014070682227611542,0.007134940009564161,0.006230573635548353,0.005345383659005165,0.0015032646479085088,0.00045102584362029854,0.0003900648231911774,2.7825199351286334
14,size_1000_seed_15_config_multi_sinusoidal_num_sin_2_lookback_10,15,2,0.05763592571020126,0.036503974348306656,0.04066824913024902,0.008437316864728928,0.004251283593475819,0.0016764633506536493,0.001169815134087356,2.6157861573548766
15,size_1000_seed_16_config_multi_sinusoidal_num_sin_2_lookback_10,16,2,0.03228220343589783,0.05521051585674286,0.038757242262363434,0.0010685011511668563,0.005733528174459934,0.0018607450549801197,0.0027300961939282675,2.710913802725965
16,size_1000_seed_17_config_multi_sinusoidal_num_sin_2_lookback_10,17,2,0.008634081110358238,0.005930797662585974,0.003197716549038887,0.001908138976432383,0.01156257838010788,0.006328401247660313,0.0007384847445828284,3.5446984445893452
17,size_1000_seed_18_config_multi_sinusoidal_num_sin_2_lookback_10,18,2,0.01992286555469036,0.02921958453953266,0.046599213033914566,0.0005413828766904771,0.006455038674175739,0.001974341928958903,0.0011322499943701822,3.080619717702876
18,size_1000_seed_19_config_multi_sinusoidal_num_sin_2_lookback_10,19,2,0.04343869537115097,0.04834698513150215,0.013442952185869217,0.0011403257958590984,0.010431673377752304,0.003982788129399226,0.0025781870769921856,2.969602934405035
19,size_1000_seed_20_config_multi_sinusoidal_num_sin_2_lookback_10,20,2,0.010386675596237183,0.004596495535224676,0.006150742061436176,0.0005316268070600927,0.007092952728271484,0.004658641755580906,0.0006093636064506965,3.263606374732795
20,size_1000_seed_21_config_multi_sinusoidal_num_sin_3_lookback_10,21,3,0.012833300046622753,0.003657435765489936,0.02465590089559555,0.0043026721104979515,0.0007683584117330611,0.00033995829025904424,0.0005028433051538516,2.5576261548552313
21,size_1000_seed_22_config_multi_sinusoidal_num_sin_3_lookback_10,22,3,0.009474693797528744,0.01192483864724636,0.0153243662789464,0.0023234053514897823,0.018693741410970688,0.03582958552241326,0.004249416945055392,4.671182982162082
22,size_1000_seed_23_config_multi_sinusoidal_num_sin_3_lookback_10,23,3,0.07640424370765686,0.07041573524475098,0.03445777669548988,0.006596731022000313,0.006858156993985176,0.0006777711162964506,0.001370149353620817,2.4597406119350804
23,size_1000_seed_24_config_multi_sinusoidal_num_sin_3_lookback_10,24,3,0.013938975520431995,0.031383272260427475,0.018203074112534523,0.0020723012275993824,0.004054454155266285,0.001414052665233618,0.0008967768043718047,2.5752815326297207
24,size_1000_seed_25_config_multi_sinusoidal_num_sin_3_lookback_10,25,3,0.004506530240178108,0.0038227769546210766,0.003364806529134512,0.0007240691920742393,0.07558583468198776,0.22222323155899842,0.01564509225126647,6.860054255358706
25,size_1000_seed_26_config_multi_sinusoidal_num_sin_3_lookback_10,26,3,0.03951388970017433,0.08314444869756699,0.01939220167696476,0.026942748576402664,0.008154121227562428,0.0010946916824517163,0.0009088338990363803,2.6494037240363184
26,size_1000_seed_27_config_multi_sinusoidal_num_sin_3_lookback_10,27,3,0.00566937867552042,0.013906445354223251,0.003421180648729205,0.0006129106623120606,0.006930594332516193,0.0029025655984878463,0.0006819956918314135,3.244725984473699
27,size_1000_seed_28_config_multi_sinusoidal_num_sin_3_lookback_10,28,3,0.02309253253042698,0.02399320900440216,0.017418747767806053,0.0034631139133125544,0.011613667011260986,0.021374896804491686,0.0015873654409403225,3.8919929914533973
28,size_1000_seed_29_config_multi_sinusoidal_num_sin_3_lookback_10,29,3,0.011779489926993847,0.010371007025241852,0.004181960131973028,0.004884601105004549,0.03871213272213936,0.08615950703620909,0.008017491452829454,5.802551343648166
29,size_1000_seed_30_config_multi_sinusoidal_num_sin_3_lookback_10,30,3,0.03952931612730026,0.04038412123918533,0.03106931410729885,0.0014402205124497414,0.007522942032665014,0.00282530091206232,0.001994131765941545,2.8923333383999705
30,size_1000_seed_31_config_multi_sinusoidal_num_sin_4_lookback_10,31,4,0.037284377962350845,0.04955500736832619,0.07477773725986481,0.023061789572238922,0.00445896852761507,0.0011978726486364998,0.0005999658716143134,2.527538469406473
31,size_1000_seed_32_config_multi_sinusoidal_num_sin_4_lookback_10,32,4,0.041328854858875275,0.013967080041766167,0.015145208686590195,0.0017432495951652527,0.0060402764938771725,0.0037417835891246755,0.0007817704901488498,3.1574216289961248
32,size_1000_seed_33_config_multi_sinusoidal_num_sin_4_lookback_10,33,4,0.004808105994015932,0.004695005249232054,0.007646375335752964,0.0028799371793866158,0.008102912455797195,0.00571231665213903,0.0016636409298823275,3.598632663180627
