,type,seed,difficulty,peephole_lstm_xs,peephole_lstm_s,peephole_lstm_m,open_lstm_xs,open_lstm_s,open_lstm_m,input_lstm_xs,input_lstm_s,input_lstm_m,lstm_xs,lstm_s,lstm_m,last_value_loss,entropy
0,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,1,1,1.3147451682016253e-05,2.8038300570187857e-09,6.100620009164004e-12,0.00043015554547309875,1.0895247214648407e-05,7.450580430390374e-11,0.0001656077802181244,2.4838518584147096e-06,0.0,0.0004944080137647688,9.296826503080169e-11,0.0,0.0,0.0
1,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,2,1,1.6041158232837915e-06,9.929632506100461e-05,5.188294380786829e-07,1.866841921582818e-05,4.33637760579586e-05,3.725290298461914e-09,3.794580698013306e-05,7.522721716668457e-07,3.8743017682918435e-09,6.203353404998779e-05,6.402842700481415e-08,3.725290298461914e-09,0.0,0.0
2,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,3,1,0.0006296944338828325,5.151596269570291e-06,4.59796090090947e-12,1.2330710887908936e-05,9.328994821089509e-08,1.862645149230957e-09,2.162158489227295e-05,3.7727877497673035e-06,0.0,0.00019845366477966309,6.257905624806881e-06,1.862645149230957e-09,0.0,0.0
3,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,4,1,1.733499811962247e-05,5.60449464614976e-11,3.834092765497843e-10,2.450123429298401e-05,9.161420166492462e-05,0.0,0.00021344982087612152,2.851150782134937e-07,0.0,8.77678394317627e-05,4.4834156142314896e-05,1.9371508841459217e-09,0.0,0.0
4,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,5,1,2.367451088503003e-06,2.113189111696556e-06,4.116784690921804e-11,0.0005086883902549744,7.489333597732184e-07,0.0,0.0013325102627277374,1.1047575299016898e-08,0.0,0.0004388652741909027,1.8917489796876907e-06,0.0,0.0,0.0
5,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,6,1,0.00023389674606733024,6.139515608083457e-05,1.8255619238516374e-10,0.0001255534589290619,2.724073056015186e-08,1.862645149230957e-09,0.00024222023785114288,8.275628099463361e-11,0.0,0.00017724931240081787,9.313225746154785e-10,1.1324882365215672e-08,0.0,0.0
6,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,7,1,0.00011563640146050602,7.124071998987347e-09,3.100175671733041e-11,0.00023059546947479248,1.4584147720597684e-06,0.0,0.00013169646263122559,0.00020909943850710988,0.0,0.0003535151481628418,3.322522388771176e-05,2.7939677238464355e-09,0.0,0.0
7,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,8,1,0.00012001139111816883,7.265543899848126e-08,1.2161027740376085e-10,8.786842226982117e-05,2.567285761756466e-08,3.8743017682918435e-09,3.845337778329849e-05,1.28941610455513e-06,8.940696516468449e-10,8.490309119224548e-05,2.6278527798240248e-08,0.0,0.0,0.0
8,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,9,1,1.1987169273197651e-05,9.56487600234368e-09,4.5862313946543054e-11,0.00013360008597373962,1.4129937881079968e-05,0.0,4.203757271170616e-06,0.00011064641148550436,0.0,0.0003227740526199341,2.043158747255802e-05,7.450580430390374e-11,0.0,0.0
9,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,10,1,5.66430389881134e-05,7.0387784489867045e-09,7.475207085272384e-12,0.0001360476016998291,3.388154254935216e-06,4.656612873077393e-10,4.960782825946808e-05,3.290380945486504e-08,0.0,1.905113458633423e-05,8.149072527885437e-10,1.4752149724017727e-08,0.0,0.0
10,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,11,2,0.002908945083618164,5.960464477539063e-08,0.0,0.0022573471069335938,0.0,0.0,0.0009437203407287598,0.0,0.0,0.00042998790740966797,0.0,0.0,0.0,0.2638667712932346
11,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,12,2,0.0006019845604896545,2.7973204851150513e-05,0.0,0.0008576512336730957,3.293156623840332e-06,0.0,0.00025459378957748413,4.991888999938965e-07,3.725290215195187e-11,0.00013530347496271133,5.155801773071289e-06,3.8743017682918435e-09,0.0,0.6767782959208025
12,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,13,2,0.3110266923904419,0.40722763538360596,0.0065262336283922195,0.4558040201663971,0.5856924057006836,0.020514728501439095,0.2652803063392639,0.7112507820129395,0.06821717321872711,0.9327136874198914,1.0003851652145386,0.6745121479034424,0.0,0.2456356185885724
13,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,14,2,0.005024313926696777,1.7881393432617188e-06,0.0,0.0003361701965332031,1.1920928955078125e-07,0.0,0.00017464160919189453,1.1920928955078125e-06,0.0,0.0020056962966918945,6.198883056640625e-06,2.38418573772492e-09,0.0,0.2938784033219208
