,type,seed,difficulty,open_lstm_m,input_lstm_m,last_value_loss,entropy
0,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,1,1,0.024813108146190643,0.008806854486465454,0.001000000280328095,2.2011686833033335
1,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,2,1,0.004225483629852533,0.006840722635388374,0.0010000000474974513,2.2011686833033335
2,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,3,1,0.010786397382616997,0.002338510239496827,0.0010000000474974513,2.2011686833033335
3,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,4,1,0.019253209233283997,0.01937948539853096,0.001000000280328095,2.2011686833033335
4,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,5,1,0.022543976083397865,0.009266111999750137,0.001000000280328095,2.2011686833033335
5,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,6,1,0.007376176305115223,0.035425715148448944,0.001000000280328095,2.2011686833033335
6,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,7,1,0.0119098462164402,0.0106262918561697,0.001000000280328095,2.2011686833033335
7,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,8,1,0.044695306569337845,0.003344382159411907,0.0010000000474974513,2.2011686833033335
8,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,9,1,0.029806477949023247,0.022175297141075134,0.001000000280328095,2.2011686833033335
9,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,10,1,0.02760346420109272,0.02681821584701538,0.001000000280328095,2.2011686833033335
10,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,11,2,0.021977955475449562,0.010313034057617188,0.0011547345202416182,2.1011400599197345
11,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,12,2,0.018888402730226517,0.009067850187420845,0.0011363023659214377,2.17713309493862
12,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,13,2,0.01109157595783472,0.03559337928891182,0.0008877700311131775,2.1894783293499644
13,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,14,2,0.017546651884913445,0.01818210817873478,0.0011778563493862748,2.0769738165472096
14,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,15,2,0.0037574011366814375,0.028481321409344673,0.0006928193615749478,2.1538991652333865
15,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,16,2,0.12166769057512283,0.0697249174118042,0.0018090078374370933,1.5927665102636663
16,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,17,2,0.001227177563123405,0.00034029706148430705,0.0002301681088283658,1.7614707827259608
17,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,18,2,0.003843834390863776,0.004462581127882004,0.0011288964888080955,2.1170814771055033
18,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,19,2,0.0049829985946416855,0.005824890919029713,0.0009015018003992736,2.084472437413396
19,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,20,2,0.012483000755310059,0.11233466863632202,0.005034800618886948,1.9993362907146033
20,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,21,3,0.0005627430509775877,0.002095994306728244,0.0006641247309744358,1.8995022952640266
21,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,22,3,0.0004457205650396645,0.0005816048360429704,0.0002700284239836037,1.8593859477880728
22,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,23,3,0.00023496695212088525,0.0003751564072445035,0.0005747771356254816,1.875117866097179
23,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,24,3,0.012337311170995235,0.00471829017624259,0.0009938633302226663,2.2080906351403415
24,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,25,3,0.06680183857679367,0.08608675003051758,0.001475594937801361,1.9270911547230152
25,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,26,3,0.0016056773019954562,0.001468920730985701,0.0014748397516086698,2.2427976669004814
26,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,27,3,0.016356656327843666,0.013841399922966957,0.0033112585078924894,2.3913199567688372
27,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,28,3,0.002582692774012685,0.0008954217773862183,0.0025456142611801624,2.375049559971824
28,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,29,3,0.0021775744389742613,0.0012103216722607613,0.0013914048904553056,2.2057364391084344
29,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,30,3,0.01640399917960167,0.051773734390735626,0.0012403004802763462,2.071921740207285
30,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,31,4,0.036104410886764526,0.08533076196908951,0.0021105350460857153,1.0513166620657879
31,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,32,4,0.02340291440486908,0.023155730217695236,0.0023911523167043924,2.090909431251924
32,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,33,4,0.0023168427869677544,0.0034102604258805513,0.001722011249512434,2.0972488073364537
33,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,34,4,0.008463853038847446,0.009824119508266449,0.0010837966110557318,2.170150914548995
34,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,35,4,0.0003886809281539172,0.0006511294050142169,0.00013534138270188123,1.9539880138780945
35,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,36,4,0.016285179182887077,0.03571741655468941,0.0006149536347948015,1.9350085682731162
36,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,37,4,0.0395432747900486,0.03198331966996193,0.003378378227353096,2.318627881360626
37,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,38,4,0.04323714226484299,0.025539107620716095,0.0019455254077911377,2.099440434930117
38,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,39,4,0.028387919068336487,0.03991813212633133,0.0018997270381078124,1.81616592371387
39,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,40,4,0.0009797358652576804,0.0010346942581236362,0.00014018415822647512,1.7756751608310382
40,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,41,5,0.0033625804353505373,0.002943317871540785,0.0005584383034147322,1.5463141682077985
41,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,42,5,0.00407441845163703,0.005437359679490328,0.0014547741739079356,2.0170904672684
42,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,43,5,0.00029858783818781376,0.002502996241673827,0.0005938525428064167,2.05750525053281
43,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,44,5,0.020593062043190002,0.0011046892032027245,0.001102099078707397,1.9208630258438173
44,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,45,5,0.009546159766614437,0.02330298349261284,0.001113341422751546,1.0938870563921972
45,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,46,5,0.026921678334474564,0.012394440360367298,0.00013016104639973491,2.067434848801078
46,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,47,5,0.004187196027487516,0.0015417452668771148,9.491686068940908e-05,1.7915880813787666
47,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,48,5,0.040364667773246765,0.013608342036604881,0.0011556423269212246,2.0376336910923207
48,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,49,5,0.0010516744805499911,0.002047770656645298,4.841089321416803e-05,2.2029519993877353
49,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,50,5,0.0012021232396364212,0.0015821254346519709,0.0005021706456318498,1.7611042473615932
50,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,51,6,0.0035631759092211723,0.0025320083368569613,0.002474952256307006,2.043894361346734
51,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,52,6,0.045722056180238724,0.06083140894770622,0.0020345384255051613,2.1992820979395615
52,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,53,6,0.003717635292559862,0.03398282453417778,0.0008215332054533064,2.0379530230903007
53,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,54,6,0.0034779340494424105,0.003403453854843974,0.00025559961795806885,1.129784421278354
54,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,55,6,0.0015040498692542315,0.0025136130861938,0.0003417962871026248,2.1069452140987517
55,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,56,6,0.005198277998715639,0.008429300040006638,0.004538368433713913,2.3922394532729396
56,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,57,6,0.0029708794318139553,0.0018705202965065837,0.004023405723273754,2.4179573422514387
57,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,58,6,0.002231685211881995,0.0017471960745751858,0.0013944688253104687,1.6733471832872373
58,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,59,6,0.00045465677976608276,0.0002314871526323259,0.00033286408870480955,1.7600512032063649
59,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,60,6,0.007167567498981953,0.004114034119993448,0.001250926055945456,2.345042509294111
60,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,61,7,0.012393835000693798,0.01642378605902195,0.000280979264061898,1.7720262522290802
61,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,62,7,0.005252028815448284,0.008396047167479992,0.003085668431594968,1.5416151975195955
62,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,63,7,0.029813705012202263,0.056693822145462036,0.0006295049097388983,2.0885838735971127
63,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,64,7,0.002413520822301507,0.001636361237615347,0.0011060782708227634,1.7429230765518644
64,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_1,65,7,0.00828495156019926,0.0037760967388749123,0.0021275568287819624,2.3672146814869137
