,type,seed,difficulty,peephole_lstm_xs,peephole_lstm_s,peephole_lstm_m,open_lstm_xs,open_lstm_s,open_lstm_m,input_lstm_xs,input_lstm_s,input_lstm_m,lstm_xs,lstm_s,lstm_m,last_value_loss,entropy
0,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,1,1,0.011427325196564198,0.002986829960718751,0.00020934223721269518,0.008781302720308304,0.08239371329545975,0.005048138089478016,0.002557594096288085,0.0013259679544717073,0.0017148382030427456,0.006576337851583958,0.10610893368721008,0.012779801152646542,0.0009910804219543934,2.1935587034028017
1,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,2,1,0.03568706661462784,0.1031496450304985,0.04287499561905861,0.017482498660683632,0.010268471203744411,0.0008931614574976265,0.0032122733537107706,0.0003308526938781142,0.005490027833729982,0.02416316792368889,0.13036543130874634,0.053069330751895905,0.0009910803055390716,2.1935587034028017
2,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,3,1,0.12660333514213562,0.11278802901506424,0.030469700694084167,0.03498714789748192,0.006008090451359749,0.0026995826046913862,0.00927248690277338,0.00022849375091027468,0.0008912596968002617,0.0317414328455925,0.013393554836511612,0.02029508352279663,0.0009910803055390716,2.1935587034028017
3,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,4,1,0.07856876403093338,0.0027738530188798904,0.03529512882232666,0.042115718126297,0.04082721844315529,0.0018367135198786855,0.01126991305500269,8.543133844796102e-06,0.004973266739398241,0.1096433624625206,0.08843836933374405,0.0065803988836705685,0.0009910804219543934,2.1935587034028017
4,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,5,1,0.036921266466379166,0.008620068430900574,0.0005686181830242276,0.005228673107922077,0.003953318577259779,0.004486700985580683,0.015431249514222145,0.00011196672858204693,0.005169468000531197,0.02553965151309967,0.1096542552113533,0.03597987815737724,0.0009910804219543934,2.1935587034028017
5,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,6,1,0.02112540230154991,0.0008660370367579162,0.00231093168258667,0.023116204887628555,0.11157577484846115,0.0027695847675204277,0.0009001761791296303,0.0005823111278004944,4.029452975373715e-05,0.01102142408490181,0.11566819995641708,0.0030352503526955843,0.0009910804219543934,2.1935587034028017
6,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,7,1,0.006122472696006298,0.0012279743095859885,0.000462585681816563,0.0015593075659126043,0.01231929287314415,0.006357146427035332,0.008397082798182964,0.0005839067744091153,0.0007229840848594904,0.03235681354999542,0.09083280712366104,0.0022301478311419487,0.0009910804219543934,2.1935587034028017
7,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,8,1,0.06373973190784454,0.10581456124782562,0.030524801462888718,0.0161648727953434,0.016482925042510033,0.014837414026260376,0.016765430569648743,0.000359285477316007,0.015390618704259396,0.014334329403936863,0.1108299046754837,0.003798680379986763,0.0009910803055390716,2.1935587034028017
8,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,9,1,0.022957541048526764,0.00038208841579034925,0.0003013044479303062,0.02162342518568039,0.09490520507097244,0.0023172032088041306,0.01629050262272358,0.00011714398715412244,1.3021231097809505e-05,0.009974407963454723,0.11373243480920792,0.011032016016542912,0.0009910804219543934,2.1935587034028017
9,size_1000_seed_0_config_piecewise_linear_num_seg_1_lookback_10,10,1,0.03481924161314964,0.001961423084139824,0.002189447870478034,0.046565767377614975,0.0005005800630897284,0.0048211850225925446,0.001982887974008918,3.601014759624377e-05,0.003214020049199462,0.004814099054783583,0.12547089159488678,0.0012070364318788052,0.0009910804219543934,2.1935587034028017
